id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,crime_rate,prop.availability,days_last_review,dis_in_miles,Bronx,Brooklyn,Manhattan,Queens,Staten_Island,entire_home,private_room,shared_room
2539,40.64749,-73.97237,149,1,9,0.21,6,5.2095,1,263,0.288551,0,1,0,0,0,0,1,0
2595,40.75362,-73.98377,225,1,45,0.38,2,123.5776,0.97260274,49,0.05792791,0,0,1,0,0,1,0,0
3831,40.68514,-73.95976,89,1,270,4.64,1,18.9222,0.531506849,4,0.25839876,0,1,0,0,0,1,0,0
5022,40.79851,-73.94399,80,10,9,0.1,1,12.5434,0,232,0.12443092,0,0,1,0,0,1,0,0
5099,40.74767,-73.975,200,3,74,0.59,1,14.1041,0.353424658,17,0.26462114,0,0,1,0,0,1,0,0
5121,40.68688,-73.95596,60,45,49,0.4,1,17.0945,0,642,0.22824568,0,1,0,0,0,0,1,0
5178,40.76489,-73.98493,79,2,430,3.47,1,44.8156,0.602739726,15,0.17643216,0,0,1,0,0,0,1,0
5203,40.80178,-73.96723,79,2,118,0.99,1,9.5529,0,718,0.15190466,0,0,1,0,0,0,1,0
5238,40.71344,-73.99037,150,1,160,1.33,4,17.1053,0.515068493,30,0.03030903,0,0,1,0,0,1,0,0
5295,40.80316,-73.96545,135,5,53,0.43,1,9.5529,0.016438356,17,0.09181064,0,0,1,0,0,1,0,0
5441,40.76076,-73.98867,85,2,188,1.5,1,44.8156,0.106849315,16,0.18277885,0,0,1,0,0,0,1,0
5803,40.66829,-73.98779,89,4,167,1.34,3,12.441,0.860273973,15,0.17171882,0,1,0,0,0,0,1,0
6021,40.79826,-73.96113,85,2,113,0.91,1,9.5529,0.912328767,4,0.15194144,0,0,1,0,0,0,1,0
6090,40.7353,-74.00525,120,90,27,0.22,1,24.6521,0,251,0.17829494,0,0,1,0,0,1,0,0
6848,40.70837,-73.95352,140,2,148,1.2,1,11.0839,0.126027397,10,0.10191181,0,1,0,0,0,1,0,0
